sched_type,preemption_interval_us,throughput,proportion_long_jobs,num_short,num_long,short_0_pct,short_25_pct,short_50_pct,short_75_pct,short_90_pct,short_99_pct,short_99.9_pct,short_100_pct,long_0_pct,long_25_pct,long_50_pct,long_75_pct,long_90_pct,long_99_pct,long_99.9_pct,long_100_pct
cfs,0,210000,0,1050000,0,1.118000,2.423000,3.241000,5.223000,8.258000,101.583000,5545.631212,13517.797000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cfs,0,30000,0.01,148515,1485,1.144000,2.049000,2.655000,4.078000,9.164600,85.689640,1520.132018,9030.713000,1000.243000,1001.128000,1001.735000,1003.956000,1013.979400,2608.415960,4239.763960,4608.575000
cfs,0,60000,0.01,296915,3085,1.124000,2.165000,2.761000,4.676500,19.940200,1106.591820,3775.784280,7355.505000,1000.220000,1001.255000,1001.824000,1004.593000,1056.182800,3218.743600,6649.261300,18029.536000
cfs,0,90000,0.01,445514,4486,1.130000,2.363000,3.079000,6.222000,86.288100,1821.591370,2590.993223,15042.650000,1000.210000,1001.434250,1002.223500,1007.302250,1230.950500,2973.408450,6263.046370,13183.063000
cfs,0,120000,0.01,594061,5939,1.125000,2.538000,3.598000,8.539000,467.144000,2531.265800,5258.491920,8227.381000,1000.149000,1001.574000,1002.871000,1012.737000,1827.238000,4059.815520,6850.167220,13703.879000
cfs,0,150000,0.01,742368,7632,1.112000,2.608000,3.834000,8.102000,307.067200,2498.828510,4431.188388,11220.496000,1000.181000,1001.663750,1003.032500,1009.747750,1595.621500,4116.056510,7524.118132,15158.150000
cfs,0,180000,0.01,890975,9025,1.125000,2.828000,4.699000,14.631000,884.147600,3184.437020,4610.056042,9805.220000,1000.187000,1001.858000,1003.971000,1033.453000,1975.002800,4832.818720,7990.747200,13106.512000
cfs,0,210000,0.01,1039537,10463,1.130000,3.144000,5.982000,127.639000,1523.208200,4811.416960,7003.034560,10830.556000,1000.190000,1002.255000,1005.494000,1286.581500,2819.620400,6224.230740,8359.053114,17822.374000
cfs,0,30000,0.1,134992,15008,1.145000,2.515000,3.739000,687.492750,3973.288600,35630.603730,44703.169108,47160.315000,1000.188000,1001.552000,1004.047000,1971.495250,5018.655900,36867.885030,46701.377137,73657.572000
cfs,0,60000,0.1,270042,29958,1.184000,1013.338500,3998.488500,9090.686250,16688.579800,24165.023020,29054.611327,42076.430000,1000.206000,2051.531250,5087.076500,10636.382000,18493.415600,29198.070100,47412.205381,114482.160000
cfs,0,90000,0.1,404772,45228,1.601000,510859.797500,1031964.786500,1535679.241500,1795272.688000,1992250.839790,2012969.849981,2015228.403000,1002.214000,511715.250250,1034384.603000,1534323.558750,1796294.723600,1992783.476520,2014212.292383,2033195.306000
cfs,0,120000,0.1,539934,60066,1.246000,1125608.072750,2223284.289000,3427788.984000,4166447.593400,4594711.542360,4631213.496704,4635640.000000,1000.439000,1136271.219750,2236539.887500,3437096.594000,4173329.709000,4594663.672900,4632091.805795,4922076.723000
cfs,0,150000,0.1,675078,74922,1.606000,1645168.519000,3288928.147000,5001885.694250,5997968.878500,6613441.640320,6671437.092152,6681046.703000,1003.143000,1650770.087750,3301308.598500,5010778.939500,6004449.577200,6614474.823340,6674768.731730,6691513.466000
cfs,0,180000,0.1,809631,90369,1.651000,2408011.873000,4703272.090000,6941620.981500,8413488.288000,9301506.753500,9380622.961150,9392947.499000,1000.583000,2379446.684000,4676269.406000,6928126.077000,8410465.122000,9302895.504240,9379353.126360,9396461.947000
cfs,0,210000,0.1,945445,104555,1.401000,2903969.442000,5838644.533000,8754351.389000,30000247.240400,30449428.017240,30494192.951160,30499578.106000,1001.197000,2888019.011000,5808148.114000,8772285.116000,10520016.137000,30450941.864440,30494396.992802,30499574.945000
cfs,0,30000,0.5,75218,74782,1.305000,1460300.660750,2875529.241500,4419792.524750,5307401.503300,5859012.629980,5901498.903340,5905968.066000,1000.432000,1455989.112000,2853983.658000,4393723.151750,5297606.303400,5858786.601030,5902932.393966,5918376.103000
cfs,0,60000,0.5,150294,149706,2.965000,4330670.315750,9147916.622500,30497399.821750,31247629.797700,31699448.508360,31745332.078474,31750597.761000,1001.049000,4344896.071250,9207141.962000,30504064.757750,31252346.612500,31701847.097050,31745817.427790,31750532.171000
