/usr/bin/sudo bazel-bin/fifo_per_cpu_agent --ghost_cpus 0-7 
Orca listening on port 8000...
Initializing...
Initialization complete, ghOSt active.
Received SetScheduler. type=1, preemption_interval_us=500
killing child process (pid=13865) ...
child (pid=13865) exited with status 0
/usr/bin/sudo bazel-bin/fifo_centralized_agent --ghost_cpus 0-7 --preemption_time_slice 500us 
Core map
(  0 )	(  1 )	(  2 )	(  3 )	(  4 )	(  5 )	(  6 )	(  7 )

Initializing...
Initialization complete, ghOSt active.
Received Metric. gtid=30559826182420048, created_at_us=1701667596592203, block_time_us=336967, runnable_time_us=117145, queued_time_us=1482047, on_cpu_time_us=1164916, yielding_time_us=1443, died_at_us=1701667599694723, preempt_count=0
Received Metric. gtid=30581816414975578, created_at_us=1701667596594071, block_time_us=339664, runnable_time_us=115337, queued_time_us=1465924, on_cpu_time_us=1178007, yielding_time_us=1747, died_at_us=1701667599694753, preempt_count=0
Received Metric. gtid=30564224228931154, created_at_us=1701667596592562, block_time_us=314663, runnable_time_us=120844, queued_time_us=1458740, on_cpu_time_us=1206240, yielding_time_us=1721, died_at_us=1701667599694772, preempt_count=0
Received Metric. gtid=30575219345208919, created_at_us=1701667596593440, block_time_us=328002, runnable_time_us=116571, queued_time_us=1461642, on_cpu_time_us=1193357, yielding_time_us=1766, died_at_us=1701667599694781, preempt_count=0
Received Metric. gtid=30553229112653389, created_at_us=1701667596591835, block_time_us=341312, runnable_time_us=120441, queued_time_us=1459547, on_cpu_time_us=1180292, yielding_time_us=1351, died_at_us=1701667599694782, preempt_count=0
Received Metric. gtid=30566423252186707, created_at_us=1701667596592647, block_time_us=295049, runnable_time_us=124536, queued_time_us=1495451, on_cpu_time_us=1184318, yielding_time_us=2793, died_at_us=1701667599694797, preempt_count=0
Received Metric. gtid=30555428135908942, created_at_us=1701667596591949, block_time_us=309556, runnable_time_us=123341, queued_time_us=1488495, on_cpu_time_us=1178518, yielding_time_us=2958, died_at_us=1701667599694820, preempt_count=0
Received Metric. gtid=30562025205675601, created_at_us=1701667596592331, block_time_us=327384, runnable_time_us=117356, queued_time_us=1457455, on_cpu_time_us=1198583, yielding_time_us=1717, died_at_us=1701667599694829, preempt_count=0
Received Metric. gtid=30577418368464472, created_at_us=1701667596593551, block_time_us=314001, runnable_time_us=116911, queued_time_us=1473406, on_cpu_time_us=1194274, yielding_time_us=2734, died_at_us=1701667599694880, preempt_count=0
Received Metric. gtid=30573020321953366, created_at_us=1701667596593137, block_time_us=303590, runnable_time_us=120572, queued_time_us=1459630, on_cpu_time_us=1216458, yielding_time_us=1494, died_at_us=1701667599694883, preempt_count=0
Received Metric. gtid=30584015438231131, created_at_us=1701667596594448, block_time_us=295316, runnable_time_us=114663, queued_time_us=1470502, on_cpu_time_us=1218656, yielding_time_us=1302, died_at_us=1701667599694891, preempt_count=0
Received Metric. gtid=30570821298697813, created_at_us=1701667596593022, block_time_us=327970, runnable_time_us=114584, queued_time_us=1482573, on_cpu_time_us=1174375, yielding_time_us=2387, died_at_us=1701667599694913, preempt_count=0
Received Metric. gtid=30568622275442260, created_at_us=1701667596592771, block_time_us=337134, runnable_time_us=120666, queued_time_us=1466693, on_cpu_time_us=1176119, yielding_time_us=1540, died_at_us=1701667599694925, preempt_count=0
Received Metric. gtid=30551030089397836, created_at_us=1701667596591717, block_time_us=301236, runnable_time_us=120690, queued_time_us=1484734, on_cpu_time_us=1194707, yielding_time_us=1862, died_at_us=1701667599694949, preempt_count=0
Received Metric. gtid=30579617391720025, created_at_us=1701667596593962, block_time_us=320032, runnable_time_us=119794, queued_time_us=1470472, on_cpu_time_us=1188373, yielding_time_us=2317, died_at_us=1701667599694954, preempt_count=0
Received Metric. gtid=30557627159164495, created_at_us=1701667596592084, block_time_us=325505, runnable_time_us=120474, queued_time_us=1479377, on_cpu_time_us=1175947, yielding_time_us=1567, died_at_us=1701667599694955, preempt_count=0
Exiting Orca...
killing child process (pid=13879) ...
child (pid=13879) exited with status 0
